"gene","inheritance"
"TRIM2","AR"
"TLR2","AD"
"FGB","AR"
"FGA","AD"
"","AD"
"FGG","AR"
"LRAT","AR"
"GUCY1A1","AR"
"TDO2","AR"
"GLRB","AR"
"GRIA2","AD"
"ETFDH","AR"
"RAPGEF2","AD"
"","AR"
"MSMO1","AR"
"CPE","AR"
"TLL1","AD"
"PALLD","AD"
"NEK1","AD"
"CLCN3","AD"
"HPGD","AR"
"","AD"
"","AD"
"VEGFC","AD"
"AGA","AR"
"TENM3","AR"
"TRAPPC11","AR"
"PRIMPOL","AD"
"SLC25A4","AD"
"UFSP2","AD"
"TLR3","AD"
"CYP4V2","AR"
"","AD"
"","AD"
"","AD"
"KLKB1","AR"
"","AD"
"","AD"
"SDHA","AD"
"SLC9A3","AR"
"TRIP13","AR"
"SLC6A19","AD"
"TERT","AD"
"SLC6A3","AR"
"NDUFS6","AR"
"NSUN2","AR"
"MTRR","AR"
"CCT5","AR"
"MARCHF6","AD"
"DNAH5","AR"
"TRIO","AD"
"OTULIN","AR"
"ANKH","AD"
"","AD"
"RETREG1","AR"
"","AD"
"3,00 NPR","AR"
"TARS1","AR"
"SLC45A2","AR"
"AMACR","AR"
"DNAJC21","AR"
"AGXT2","AR"
"PRLR","AD"
"SPEF2","AR"
"IL7R","AR"
"NADK2","AR"
"SLC1A3","AD"
"NIPBL","AD"
"CPLANE1","AR"
"NUP155","AR"
"GDNF","AD"
"","AD"
"LIFR","AR"
"OSMR","AD"
"FYB1","AR"
"OXCT1","AR"
"GHR","AD"
"NNT","AR"
"FGF10","AD"
"HCN1","AD"
"","AD"
"MOCS2","AR"
"NDUFS4","AR"
"HSPB3","AD"
"MCIDAS","AR"
"CCNO","AR"
"IL31RA","AD"
"IL6ST","AR"
"MAP3K1","AD"
"PDE4D","AD"
"ERCC8","AR"
"NDUFAF2","AR"
"ZSWIM6","AD"
"KIF2A","AD"
"","AD"
"","AD"
"HTR1A","AD"
"CWC27","AR"
"PIK3R1","AD"
"MARVELD2","AR"
"OCLN","AR"
"SMN2","AR"
"SMN1","AR"
"BDP1","AR"
"MCCC2","AR"
"CARTPT","AD"
"MAP1B","AD"
"HEXB","AR"
"GFM2","AR"
"CERT1","AD"
"PDE8B","AD"
"","AD"
"AP3B1","AR"
"ARSB","AR"
"DMGDH","AR"
"DHFR","AR"
"MSH3","AR"
"RPS23","AD"
"XRCC4","AR"
"VCAN","AD"
"","AD"
"RASA1","AD"
"MEF2C","AD"
"ADGRV1","AD"
"NR2F1","AD"
"KIAA0825","AR"
"TTC37","AR"
"PCSK1","AR"
"CAST","AR"
"CHD1","AD"
"PPIP5K2","AR"
"","AD"
"","AD"
